* Measurement data measured by REW V5.20.4
* Source: C:\Users\topge\AutoEq\compensation\harman_in-ear_2016.csv
* Format: Comma/Tab/Space delimited data
* Dated: 18 Dec, 2021 1:17:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Measurement imported from C:\Users\topge\AutoEq\compensation\harman_in-ear_2016.csv Format: Comma/Tab/Space delimited data 695 values loaded, 20 Hz to 19,896 Hz log spaced
* Measurement: harman_in-ear_2016
* Smoothing: 1/48 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
9250.000000	-1.063
9380.000000	-1.268
9500.000000	-1.447
9620.000000	-1.623
9750.000000	-1.822
9880.000000	-2.008
10000.000000	-2.183
10150.000000	-2.419
10300.000000	-2.649
10440.000000	-2.862
10600.000000	-3.099
10750.000000	-3.354
10900.000000	-3.634
11060.000000	-3.927
11200.000000	-4.179
11380.000000	-4.495
11500.000000	-4.717
11720.000000	-5.122
11800.000000	-5.271
12060.000000	-5.735
12200.000000	-5.987
12410.000000	-6.289
12500.000000	-6.399
12650.000000	-6.590
12800.000000	-6.775
13150.000000	-7.207
13200.000000	-7.279
13400.000000	-7.585
13600.000000	-7.882
13800.000000	-8.176
14000.000000	-8.465
14300.000000	-8.895
14500.000000	-9.198
14750.000000	-9.566
15000.000000	-9.925
15250.000000	-10.331
15500.000000	-10.773
15750.000000	-11.207
16000.000000	-11.634
16250.000000	-12.052
16500.000000	-12.451
16750.000000	-12.833
17000.000000	-13.221
17250.000000	-13.592
17500.000000	-13.953
17750.000000	-14.280
18000.000000	-14.595
18250.000000	-14.914
18500.000000	-15.231
18750.000000	-15.511
19000.000000	-15.761
19250.000000	-16.002
19500.000000	-16.242
19750.000000	-16.482
