* Measurement data measured by REW V5.20.4
* Source: Microphone (BGVP HiFi Audio-T01s), MICROPHONE (Master Volume), R, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 30 May, 2023 12:31:15 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: HA-FDX1 Green L
* Smoothing: None
* Frequency Step: 1/96 octave
* Start Frequency: 0.366 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
15.422109 87.855 -124.2279
15.533863 87.883 -124.6141
15.646428 87.911 -125.0014
15.759809 87.939 -125.3888
15.874010 87.966 -125.7769
15.989040 87.992 -126.1651
16.104904 88.018 -126.5519
16.221605 88.043 -126.9366
16.339155 88.068 -127.3198
16.457554 88.093 -127.7004
16.576813 88.117 -128.0777
16.696936 88.141 -128.4519
16.817928 88.165 -128.8237
16.939798 88.188 -129.1928
17.062551 88.212 -129.5591
17.186193 88.236 -129.9242
17.310732 88.261 -130.2887
17.436172 88.285 -130.6520
17.562521 88.309 -131.0158
17.689787 88.334 -131.3808
17.817974 88.358 -131.7464
17.947090 88.382 -132.1130
18.077143 88.406 -132.4811
18.208138 88.430 -132.8501
18.340080 88.453 -133.2188
18.472980 88.475 -133.5878
18.606844 88.497 -133.9561
18.741676 88.519 -134.3221
18.877487 88.539 -134.6863
19.014280 88.560 -135.0478
19.152065 88.580 -135.4057
19.290850 88.599 -135.7601
19.430639 88.618 -136.1113
19.571442 88.637 -136.4588
19.713264 88.656 -136.8031
19.856115 88.675 -137.1451
20.000000 88.694 -137.4844
20.144928 88.712 -137.8223
20.290907 88.731 -138.1591
20.437943 88.749 -138.4948
20.586044 88.767 -138.8302
20.735220 88.785 -139.1652
20.885475 88.803 -139.4996
21.036821 88.820 -139.8336
21.189262 88.837 -140.1667
21.342808 88.853 -140.4983
21.497467 88.869 -140.8284
21.653246 88.884 -141.1563
21.810154 88.899 -141.4818
21.968201 88.914 -141.8049
22.127390 88.928 -142.1254
22.287735 88.943 -142.4438
22.449242 88.957 -142.7610
22.611917 88.971 -143.0768
22.775772 88.986 -143.3933
22.940815 89.000 -143.7103
23.107054 89.014 -144.0291
23.274498 89.028 -144.3502
23.443153 89.042 -144.6734
23.613033 89.055 -144.9991
23.784142 89.068 -145.3261
23.956491 89.079 -145.6536
24.130091 89.090 -145.9807
24.304947 89.100 -146.3051
24.481071 89.110 -146.6268
24.658470 89.118 -146.9437
24.837156 89.127 -147.2561
25.017136 89.135 -147.5638
25.198421 89.144 -147.8670
25.381020 89.153 -148.1677
25.564941 89.162 -148.4659
25.750195 89.172 -148.7646
25.936790 89.182 -149.0636
26.124741 89.192 -149.3647
26.314051 89.202 -149.6679
26.504732 89.212 -149.9731
26.696796 89.221 -150.2798
26.890253 89.230 -150.5867
27.085112 89.238 -150.8930
27.281382 89.246 -151.1973
27.479073 89.253 -151.4989
27.678198 89.260 -151.7970
27.878765 89.266 -152.0915
28.080786 89.273 -152.3821
28.284271 89.279 -152.6696
28.489231 89.285 -152.9540
28.695675 89.291 -153.2363
28.903616 89.298 -153.5169
29.113064 89.304 -153.7969
29.324028 89.311 -154.0765
29.536524 89.317 -154.3564
29.750557 89.323 -154.6368
29.966141 89.329 -154.9177
30.183289 89.334 -155.1985
30.402010 89.339 -155.4788
30.622314 89.343 -155.7574
30.844217 89.347 -156.0333
31.067726 89.350 -156.3061
31.292856 89.353 -156.5753
31.519617 89.356 -156.8417
31.748020 89.359 -157.1055
31.978081 89.362 -157.3690
32.209808 89.366 -157.6326
32.443211 89.369 -157.8981
32.678310 89.372 -158.1654
32.915108 89.375 -158.4346
33.153625 89.377 -158.7043
33.393871 89.379 -158.9733
33.635857 89.380 -159.2404
33.879597 89.380 -159.5043
34.125103 89.381 -159.7647
34.372387 89.381 -160.0216
34.621464 89.381 -160.2758
34.872345 89.382 -160.5280
35.125042 89.382 -160.7789
35.379574 89.383 -161.0294
35.635948 89.384 -161.2800
35.894180 89.385 -161.5310
36.154285 89.386 -161.7830
36.416275 89.387 -162.0363
36.680161 89.387 -162.2906
36.945961 89.387 -162.5458
37.213688 89.386 -162.8005
37.483353 89.384 -163.0528
37.754974 89.382 -163.3011
38.028561 89.379 -163.5439
38.304131 89.376 -163.7806
38.581699 89.373 -164.0125
38.861279 89.371 -164.2412
39.142883 89.369 -164.4695
39.426529 89.367 -164.6996
39.712231 89.365 -164.9320
40.000000 89.363 -165.1658
40.289856 89.360 -165.3990
40.581814 89.356 -165.6291
40.875885 89.352 -165.8548
41.172089 89.348 -166.0768
41.470440 89.344 -166.2971
41.770950 89.341 -166.5180
42.073643 89.337 -166.7415
42.378525 89.333 -166.9668
42.685616 89.329 -167.1913
42.994934 89.323 -167.4126
43.306492 89.318 -167.6293
43.620308 89.313 -167.8423
43.936401 89.308 -168.0548
44.254780 89.304 -168.2703
44.575470 89.299 -168.4898
44.898483 89.294 -168.7111
45.223835 89.287 -168.9303
45.551544 89.280 -169.1446
45.881630 89.273 -169.3535
46.214108 89.266 -169.5590
46.548996 89.259 -169.7636
46.886307 89.252 -169.9671
47.226067 89.244 -170.1660
47.568283 89.237 -170.3561
47.912983 89.230 -170.5383
48.260181 89.226 -170.7201
48.609894 89.223 -170.9126
48.962143 89.221 -171.1232
49.316940 89.216 -171.3489
49.674313 89.208 -171.5768
50.034271 89.197 -171.7918
50.396843 89.186 -171.9864
50.762039 89.176 -172.1661
51.129883 89.167 -172.3441
51.500389 89.160 -172.5309
51.873581 89.152 -172.7258
52.249481 89.142 -172.9193
52.628101 89.131 -173.1021
53.009464 89.121 -173.2747
53.393593 89.111 -173.4460
53.780506 89.103 -173.6237
54.170223 89.093 -173.8065
54.562763 89.082 -173.9853
54.958145 89.071 -174.1535
55.356396 89.062 -174.3153
55.757530 89.054 -174.4828
56.161572 89.046 -174.6639
56.568542 89.036 -174.8534
56.978462 89.024 -175.0367
57.391350 89.011 -175.2053
57.807232 89.000 -175.3647
58.226128 88.990 -175.5289
58.648056 88.980 -175.7041
59.073048 88.968 -175.8806
59.501114 88.954 -176.0414
59.932281 88.941 -176.1818
60.366577 88.932 -176.3189
60.804020 88.925 -176.4770
61.244629 88.916 -176.6622
61.688435 88.902 -176.8510
62.135452 88.885 -177.0081
62.585712 88.870 -177.1251
63.039234 88.862 -177.2368
63.496040 88.858 -177.3906
63.956161 88.851 -177.5989
64.419617 88.833 -177.8155
64.886421 88.809 -177.9773
65.356621 88.787 -178.0691
65.830215 88.776 -178.1406
66.307251 88.771 -178.2551
66.787743 88.764 -178.4213
67.271713 88.749 -178.5933
67.759193 88.732 -178.7299
68.250206 88.718 -178.8409
68.744774 88.708 -178.9635
69.242928 88.697 -179.1105
69.744690 88.682 -179.2592
70.250084 88.665 -179.3864
70.759148 88.650 -179.4967
71.271896 88.637 -179.6101
71.788361 88.626 -179.7398
72.308571 88.612 -179.8838
72.832550 88.595 179.9745
73.360321 88.575 179.8594
73.891922 88.559 179.7757
74.427376 88.549 179.6871
74.966705 88.542 179.5500
75.509949 88.528 179.3742
76.057121 88.507 179.2213
76.608261 88.485 179.1263
77.163399 88.471 179.0503
77.722557 88.461 178.9409
78.285767 88.447 178.8079
78.853058 88.430 178.6916
79.424461 88.414 178.5917
80.000000 88.400 178.4843
80.579712 88.384 178.3751
81.163628 88.367 178.2834
81.751770 88.354 178.1942
82.344177 88.341 178.0836
82.940880 88.324 177.9650
83.541901 88.305 177.8670
84.147285 88.288 177.7864
84.757050 88.273 177.6982
85.371231 88.258 177.5979
85.989868 88.241 177.4974
86.612984 88.223 177.4048
87.240616 88.206 177.3192
87.872803 88.191 177.2344
88.509560 88.175 177.1432
89.150940 88.158 177.0496
89.796967 88.141 176.9630
90.447670 88.124 176.8810
91.103088 88.107 176.7978
91.763260 88.089 176.7210
92.428215 88.072 176.6520
93.097992 88.057 176.5768
93.772614 88.040 176.4940
94.452133 88.021 176.4206
95.136566 88.004 176.3592
95.825966 87.989 176.2937
96.520363 87.973 176.2133
97.219788 87.954 176.1279
97.924286 87.934 176.0674
98.633881 87.917 176.0347
99.348625 87.906 175.9749
100.068542 87.890 175.8673
100.793686 87.867 175.7855
101.524078 87.846 175.7587
102.259766 87.832 175.7170
103.000778 87.815 175.6489
103.747162 87.796 175.6025
104.498962 87.782 175.5508
105.256203 87.764 175.4708
106.018929 87.742 175.4159
106.787186 87.724 175.3857
107.561012 87.707 175.3350
108.340446 87.688 175.2875
109.125526 87.670 175.2570
109.916290 87.655 175.2104
110.712791 87.637 175.1597
111.515060 87.619 175.1187
112.323143 87.601 175.0763
113.137085 87.582 175.0531
113.956924 87.567 175.0269
114.782700 87.550 174.9721
115.614464 87.528 174.9434
116.452255 87.511 174.9290
117.296112 87.493 174.8945
118.146095 87.474 174.8764
119.002228 87.460 174.8414
119.864563 87.440 174.7863
120.733154 87.420 174.7668
121.608040 87.405 174.7382
122.489258 87.386 174.7005
123.376869 87.368 174.6953
124.270905 87.353 174.6718
125.171425 87.333 174.6396
126.078468 87.313 174.6491
126.992081 87.297 174.6497
127.912323 87.278 174.6360
128.839233 87.262 174.6456
129.772842 87.249 174.6042
130.713242 87.226 174.5545
131.660431 87.206 174.5796
132.614502 87.192 174.5617
133.575485 87.169 174.5520
134.543427 87.155 174.5967
135.518387 87.141 174.5613
136.500412 87.117 174.5677
137.489548 87.105 174.5917
138.485855 87.086 174.5397
139.489380 87.062 174.5543
140.500168 87.047 174.5773
141.518295 87.031 174.5653
142.543793 87.013 174.5852
143.576721 87.000 174.6025
144.617142 86.983 174.6041
145.665100 86.965 174.6232
146.720642 86.947 174.6372
147.783844 86.929 174.6535
148.854752 86.909 174.6541
149.933411 86.889 174.6783
151.019897 86.874 174.6985
152.114243 86.857 174.7234
153.216522 86.845 174.7581
154.326797 86.830 174.7475
155.445114 86.809 174.7711
156.571533 86.793 174.8134
157.706116 86.773 174.8220
158.848923 86.757 174.9074
160.000000 86.751 174.8925
161.159424 86.726 174.9042
162.327255 86.720 174.9612
163.503540 86.697 174.8908
164.688354 86.672 174.9946
165.881760 86.659 175.0197
167.083801 86.639 175.0697
168.294571 86.628 175.1505
169.514099 86.622 175.1443
